".underwritingdataclarity.clearfraud.clearfraudinquiry.thirtydaysago",".underwritingdataclarity.clearfraud.clearfraudinquiry.twentyfourhoursago",".underwritingdataclarity.clearfraud.clearfraudinquiry.oneminuteago",".underwritingdataclarity.clearfraud.clearfraudinquiry.onehourago",".underwritingdataclarity.clearfraud.clearfraudinquiry.ninetydaysago",".underwritingdataclarity.clearfraud.clearfraudinquiry.sevendaysago",".underwritingdataclarity.clearfraud.clearfraudinquiry.tenminutesago",".underwritingdataclarity.clearfraud.clearfraudinquiry.fifteendaysago",".underwritingdataclarity.clearfraud.clearfraudinquiry.threesixtyfivedaysago",".underwritingdataclarity.clearfraud.clearfraudindicator.inquiryonfilecurrentaddressconflict",".underwritingdataclarity.clearfraud.clearfraudindicator.totalnumberoffraudindicators",".underwritingdataclarity.clearfraud.clearfraudindicator.telephonenumberinconsistentwithaddress",".underwritingdataclarity.clearfraud.clearfraudindicator.inquiryageyoungerthanssnissuedate",".underwritingdataclarity.clearfraud.clearfraudindicator.onfileaddresscautious",".underwritingdataclarity.clearfraud.clearfraudindicator.inquiryaddressnonresidential",".underwritingdataclarity.clearfraud.clearfraudindicator.onfileaddresshighrisk",".underwritingdataclarity.clearfraud.clearfraudindicator.ssnreportedmorefrequentlyforanother",".underwritingdataclarity.clearfraud.clearfraudindicator.currentaddressreportedbytradeopenlt90days",".underwritingdataclarity.clearfraud.clearfraudindicator.inputssninvalid",".underwritingdataclarity.clearfraud.clearfraudindicator.inputssnissuedatecannotbeverified",".underwritingdataclarity.clearfraud.clearfraudindicator.inquiryaddresscautious",".underwritingdataclarity.clearfraud.clearfraudindicator.morethan3inquiriesinthelast30days",".underwritingdataclarity.clearfraud.clearfraudindicator.onfileaddressnonresidential",".underwritingdataclarity.clearfraud.clearfraudindicator.creditestablishedpriortossnissuedate",".underwritingdataclarity.clearfraud.clearfraudindicator.driverlicenseformatinvalid",".underwritingdataclarity.clearfraud.clearfraudindicator.inputssnrecordedasdeceased",".underwritingdataclarity.clearfraud.clearfraudindicator.inquiryaddresshighrisk",".underwritingdataclarity.clearfraud.clearfraudindicator.inquirycurrentaddressnotonfile",".underwritingdataclarity.clearfraud.clearfraudindicator.bestonfilessnissuedatecannotbeverified",".underwritingdataclarity.clearfraud.clearfraudindicator.highprobabilityssnbelongstoanother",".underwritingdataclarity.clearfraud.clearfraudindicator.maxnumberofssnswithanybankaccount",".underwritingdataclarity.clearfraud.clearfraudindicator.bestonfilessnrecordedasdeceased",".underwritingdataclarity.clearfraud.clearfraudindicator.currentaddressreportedbynewtradeonly",".underwritingdataclarity.clearfraud.clearfraudindicator.creditestablishedbeforeage18",".underwritingdataclarity.clearfraud.clearfraudindicator.telephonenumberinconsistentwithstate",".underwritingdataclarity.clearfraud.clearfraudindicator.driverlicenseinconsistentwithonfile",".underwritingdataclarity.clearfraud.clearfraudindicator.workphonepreviouslylistedascellphone",".underwritingdataclarity.clearfraud.clearfraudindicator.workphonepreviouslylistedashomephone",".underwritingdataclarity.clearfraud.clearfraudidentityverification.ssnnamematch",".underwritingdataclarity.clearfraud.clearfraudidentityverification.nameaddressmatch",".underwritingdataclarity.clearfraud.clearfraudidentityverification.phonematchtype",".underwritingdataclarity.clearfraud.clearfraudidentityverification.ssnnamereasoncodedescription",".underwritingdataclarity.clearfraud.clearfraudidentityverification.phonematchresult",".underwritingdataclarity.clearfraud.clearfraudidentityverification.nameaddressreasoncodedescription",".underwritingdataclarity.clearfraud.clearfraudidentityverification.phonematchtypedescription",".underwritingdataclarity.clearfraud.clearfraudidentityverification.overallmatchresult",".underwritingdataclarity.clearfraud.clearfraudidentityverification.phonetype",".underwritingdataclarity.clearfraud.clearfraudidentityverification.ssndobreasoncode",".underwritingdataclarity.clearfraud.clearfraudidentityverification.ssnnamereasoncode",".underwritingdataclarity.clearfraud.clearfraudidentityverification.nameaddressreasoncode",".underwritingdataclarity.clearfraud.clearfraudidentityverification.ssndobmatch",".underwritingdataclarity.clearfraud.clearfraudidentityverification.overallmatchreasoncode","clearfraudscore","underwritingid"
6,2,2,2,8,2,2,2,10,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"partial","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","D03","","","partial",37,768,"54cd6c72e4b0418d9ab13f18"
8,1,1,1,8,1,1,8,8,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",11,608,"54cd79cbe4b0ba763e4e5c15"
7,2,2,2,14,2,2,2,22,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,535,"54ce3716e4b0ba763e506c59"
5,3,3,3,6,3,3,3,6,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","invalid","F","","match","","(F) Full Name Only","partial","R","","","","match",21,834,"54ce7a23e4b0ba763e545d38"
5,2,2,2,14,2,2,3,43,TRUE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,587,"54ce818be4b0ba763e54f529"
3,2,2,2,3,2,2,2,14,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","unavailable","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",16,749,"54ce9d5fe4b0ba763e5621b4"
9,3,1,3,9,6,3,6,45,FALSE,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","unavailable","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",16,723,"54ce9fd2e4b0ba763e563cae"
2,2,2,2,22,2,2,2,39,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,839,"54ceb29fe4b0418d9ad5cadf"
4,4,2,2,4,4,2,4,4,TRUE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,"match","invalid","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",21,692,"54ced28fe4b0ba763e57704c"
3,3,2,2,3,3,2,3,7,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","partial","M","","unavailable","(A8) Match to Last Name only","(M) Mobile Phone","partial","","","","A8","match",6,732,"54cedf97e4b0ba763e57b050"
2,2,2,2,2,2,2,2,2,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","mismatch","U","","unavailable","","(U) Unlisted","partial","","","","","match",11,669,"54cefa93e4b0ba763e57dab0"
3,2,2,2,3,3,2,3,3,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,852,"54cefb65e4b0ba763e57ddca"
6,3,3,3,12,3,3,3,37,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,400,"54cf87efe4b0418d9aea8a23"
6,4,2,4,6,4,3,6,7,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","partial","U","","unavailable","(A8) Match to Last Name only","(U) Unlisted","partial","","","","A8","match",6,820,"54cfc64de4b0418d9b022884"
9,5,1,4,10,9,4,9,18,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,"match","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",11,659,"54d12f60e4b0a47f00df285b"
5,2,2,2,5,2,2,2,6,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,894,"54d15e8ce4b0a47f00efe0a7"
11,5,2,3,12,5,3,11,12,FALSE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,"match","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",11,537,"54d162dbe4b0a47f00f0a19d"
8,3,2,3,12,8,2,8,64,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","mismatch","U","","unavailable","","(U) Unlisted","partial","","","","","match",11,525,"54d16da2e4b0a47f00f36b76"
9,4,2,4,11,8,2,8,12,FALSE,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,669,"54d193c6e4b0a47f00fb7630"
5,4,2,2,11,4,2,4,24,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","partial","M","","unavailable","(A8) Match to Last Name only","(M) Mobile Phone","partial","","","","A8","match",6,803,"54d20896e4b0ba763e7539cc"
25,1,1,1,26,9,1,12,49,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,554,"54d24eade4b0ba763e787b7f"
9,4,4,4,15,4,4,6,36,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,804,"54d28af7e4b0ba763e7cc10f"
5,2,2,2,11,2,2,5,11,FALSE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","D01","","","partial",12,469,"54d2add4e4b0a47f0139e1d0"
20,4,2,4,28,4,4,7,87,TRUE,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,454,"54d2b1a6e4b0a47f013a1550"
4,2,2,2,4,2,2,4,5,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","FA","","match","","(FA) Full Name and Address","match","R","","","","match",1,812,"54d2c134e4b0a47f013dfc77"
4,4,2,4,16,4,4,4,17,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,"match","partial","A","","partial","(A8) Match to Last Name only","(A) Address Only","partial","R","D03","","A8","partial",7,639,"54d2c362e4b0ba763e7e9539"
5,5,2,5,9,5,3,5,12,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,755,"54d2e09ee4b0ba763e7eec16"
2,2,2,2,4,2,2,2,10,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,885,"54d2e2dfe4b0ba763e7eefe0"
6,2,2,2,8,6,2,6,11,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,"match","partial","M","","unavailable","(A8) Match to Last Name only","(M) Mobile Phone","partial","","","","A8","match",6,682,"54d310fee4b0ba763e7f3710"
7,3,2,3,7,6,3,7,7,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","FA","","match","","(FA) Full Name and Address","match","R","","","","match",1,729,"54d37c2de4b00622594b1e26"
4,4,4,4,4,4,4,4,6,TRUE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",11,763,"54d39941e4b0ba763e838549"
2,2,2,2,2,2,2,2,2,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"partial","match","M","(S03) SSN match to address only","unavailable","","(M) Mobile Phone","partial","","D03","S03","","partial",27,683,"54d39dace4b0ba763e8404b6"
16,2,2,2,32,3,2,14,33,TRUE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,"match","partial","U","","unavailable","(A8) Match to Last Name only","(U) Unlisted","partial","","","","A8","match",6,725,"54d3a173e4b006225959eb94"
9,9,2,2,9,9,2,9,9,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","U","","unavailable","","(U) Unlisted","match","","","","","match",1,635,"54d3a712e4b0ba763e84a1d5"
6,4,2,4,10,4,2,6,13,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,"match","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",11,546,"54d3bd4ae4b006225967123b"
4,3,1,3,5,4,3,4,16,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,"match","match","M","","unavailable","","(M) Mobile Phone","match","","","","","match",1,752,"54d3bedbe4b0ba763e86a7be"
30,2,2,2,32,22,2,29,36,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,"match","mismatch","M","","unavailable","","(M) Mobile Phone","partial","","","","","match",11,421,"54d3c87ce4b00622596bd2cf"
